phase,source_system,business_object,field_name,direction,update_frequency,timestamp_basis,quality_rule,unit,owner,timeout_action
30_day_offline,ERP,销售订单,order_quantity,read,change_or_daily,business_effective_time,nonnegative_and_approved,t,运营管理,hold_last_valid_and_manual_confirm
30_day_offline,ERP,市场与成本,net_ammonia_sale_price,read,daily,pricing_confirmed_at,operator_confirmed,CNY_per_t,运营管理,exclude_new_price_from_recalculation
30_day_offline,MES,班次计划,baseline_target_load,read,shift,plan_effective_time,approved_plan,percent,生产调度,manual_baseline_import
60_day_readonly,DCS_historian,合成回路,actual_load,read,5_minute,source_timestamp,GOOD_or_valid,percent,合成装置,mark_pending_no_synthetic_actual
60_day_readonly,DCS_historian,液氨罐区,available_inventory,read,5_minute,source_timestamp,GOOD_and_range_checked,t,罐区,freeze_recalculation_after_15_min
60_day_readonly,DCS_historian,合成塔,bed_temperature_rise,read,5_minute,source_timestamp,GOOD_and_sensor_agreement,C,工艺专业,stop_new_recommendation_on_hard_gate
60_day_readonly,heat_power_APC,公辅约束,steam_power_margin,read,5_minute,source_timestamp,valid_constraint_snapshot,percent,公辅调度,manual_utility_review
60_day_readonly,SMC_compressor,循环压缩机,shaft_vibration,read,1_minute,source_timestamp,GOOD_or_suspect,mm_per_s,设备专业,route_to_specialist_review
60_day_readonly,SMC_compressor,循环压缩机,antisurge_margin,read,1_minute,source_timestamp,GOOD_and_operating_state_matched,percent,设备专业,stop_new_recommendation_on_demo_gate
90_day_low_risk,MES,班次执行,recommendation_summary,write_after_approval,event,approval_completed_at,signed_and_idempotent,text,生产调度,retry_then_manual_reconcile
90_day_low_risk,Feishu_Approval,方案确认,approval_status,read_write,event,event_timestamp,signature_verified,enum,当班班长,dead_letter_and_manual_reconcile
90_day_low_risk,Feishu_Base,班末复盘,review_record,write,event,review_submitted_at,required_fields_complete,json,生产调度,save_draft_and_manual_submit
30_day_offline,Official_market_gateway,public_reference,nbs_reference_snapshot,read,on_refresh,published_at_and_fetched_at,source_url_and_quality_code,json,business_management,keep_reference_card_do_not_use_as_execution_price
30_day_offline,Official_market_gateway,futures_reference,czce_ur_sa_reference,read,intraday_or_eod,market_timestamp,authorized_and_source_verified,json,business_management,reference_only_no_spot_price_substitution
30_day_offline,MOFCOM_price_network,industry_cross_check,commodity_reference_article,read,publication,publication_date,original_url_and_period_saved,json,business_management,manual_review_before_use
30_day_offline,Yuntu_ERP,enterprise_execution_price,confirmed_business_price,read,order_or_daily,business_effective_time,product_region_unit_tax_freight_confirmed,CNY_per_t,business_management,freeze_new_economic_ranking_until_confirmed
